column_name,data_type (PostgreSQL),constraints,description
user_id,BIGSERIAL,PRIMARY KEY,사용자 고유 ID
email,VARCHAR(320),NOT NULL; UNIQUE,로그인 이메일(최대 320 권장)
password_hash,VARCHAR(255),NOT NULL,Argon2id 등 해시 문자열(평문 금지)
nickname,VARCHAR(50),NOT NULL,표시 이름
role,VARCHAR(20),"NOT NULL; CHECK(role IN ('citizen','politician','admin'))",역할
party,VARCHAR(100),NULL,정치인 소속 정당(정치인만 의미)
is_verified,BOOLEAN,NOT NULL; DEFAULT false,정치인 인증 여부
reputation,INTEGER,NOT NULL; DEFAULT 0; CHECK(reputation >= 0),평판 점수(정책에 따라 음수 허용 시 CHECK 제거)
user_create,TIMESTAMPTZ,NOT NULL; DEFAULT now(),가입 시각(타임존 포함)
area_id,BIGINT,NULL; FOREIGN KEY → AREA(area_id),사용자 소속/거주 행정동(선택)
